,publishedAt,title,tags,categoryId,liveBroadcastContent,defaultLanguage,defaultAudioLanguage,duration,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
0,2026-04-29T17:00:01Z,الدحيح | عزيزي.. حزر فزر السلاحف بتتنفس منين؟,,24,none,ar,ar,PT2M13S,hd,false,False,{},rectangular,17265,1340,0,40
1,2026-04-29T16:00:01Z,المُخبر الاقتصادي+ | لماذا نخسر في البورصة؟,,24,none,ar,ar,PT1M33S,hd,false,False,{},rectangular,57466,2718,0,72
2,2026-04-28T18:00:42Z,المُخبر الاقتصادي+ | كيف تفوز الصين في حرب أمريكا على إيران دون أن تطلق رصاصة واحدة؟,"['Economy', 'إيران', 'الصين', 'المخبر الاقتصادي', 'جو بايدن', 'دونالد ترمب', 'شي جين بينغ']",24,none,ar,ar,PT25M48S,hd,false,True,{},rectangular,502946,13305,0,429
3,2026-04-28T17:00:00Z,الدحيح | السلاحف: أبطأ كائن وأطول نفس,,24,none,ar,ar,PT2M11S,hd,false,False,{},rectangular,35097,1727,0,46
4,2026-04-27T18:00:06Z,الدحيح | كيف نجت السلاحف من الكوارث الطبيعية؟,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم', 'السلاحف', 'الدحيح السلاحف', 'الدحيح الجديد']",24,none,ar,ar,PT34M16S,hd,true,True,{},rectangular,953564,36376,0,2161
5,2026-04-27T16:00:24Z,الجهبذ| كيف سقط أمجد يوسف؟ القصة الكاملة لكشف مجزرة التضامن,"['History', 'أمجد يوسف', 'الثورة السورية', 'مجزرة التضامن']",24,none,ar,ar,PT13M39S,hd,false,True,{},rectangular,198946,7463,0,578
6,2026-04-27T15:00:01Z,شقيق الصحفية اللبنانية الشهيدة آمال خليل يعتذر من أصحاب البيت الذي لجأت إليه,,24,none,ar,ar,PT55S,hd,false,False,{},rectangular,257103,8307,0,168
7,2026-04-26T17:00:00Z,"هل تعلم يا عزيزي ""إنه اليونانيين كانوا يستعبدوا يونانيين زييهم؟""",,24,none,ar,ar,PT2M3S,hd,false,False,{},rectangular,32159,1450,0,61
8,2026-04-26T15:00:01Z,المُخبر الاقتصادي+ | أمريكا تحاصر الصين.. أم تحاصر نفسها؟ #المخبر_الاقتصادي #الصين #أمريكا,,24,none,ar,ar,PT2M26S,hd,false,False,{},rectangular,222807,7151,0,60
9,2026-04-26T12:38:53Z,من هو أمجد يوسف؟,,24,none,ar,ar,PT1M7S,hd,false,False,{},rectangular,802478,23760,0,501
10,2026-04-25T18:00:13Z,المُخبر الاقتصادي+ | ماذا لو توقفت دول الخليج عن ضخ أموالها في الأسواق العالمية بسبب حرب إيران؟,['Economy'],24,none,ar,ar,PT22M55S,hd,false,True,{},rectangular,595113,13602,0,1017
11,2026-04-25T17:00:01Z,"كيف انتهت ""إسبرطة"" مدينة الحروب التي لا تنتهي؟",,24,none,ar,ar,PT1M21S,hd,false,False,{},rectangular,30895,1598,0,17
12,2026-04-25T16:00:01Z,المدوان | اختطاف وزير سعودي,,24,none,ar,ar,PT57S,hd,false,False,{},rectangular,127920,2214,0,59
13,2026-04-24T19:00:00Z,"ماذا تعرفون عن المدينة الأسطورية ""إسبرطة""؟",,24,none,ar,ar,PT23S,hd,false,False,{},rectangular,19417,699,0,19
14,2026-04-24T18:00:21Z,الدحيح | إسبرطة.. كيف يُمكن لجيش أن يؤسس مجتمعاً؟,['History'],24,none,ar,en-US,PT40M53S,hd,true,True,{},rectangular,1813001,67756,0,2896
15,2026-04-24T16:00:33Z,المدوان | كيف خطف الثعلب الفنزويلي وزير النفط السعودي؟,['Politics'],24,none,ar,ar,PT11M12S,hd,false,True,{},rectangular,168831,1335,0,67
16,2026-04-24T14:00:01Z,كيف عاقبت إسرائيل الجندي الذي حطم تمثال السيد المسيح في جنوب لبنان؟,,24,none,ar,ar,PT26S,hd,false,False,{},rectangular,1429224,27673,0,518
17,2026-04-23T19:00:30Z,السليط الإخباري 2026 | هل اعتذرت إسرائيل؟ وما الذي يحصل في سوريا؟,"['آن هاثاواي', 'أحمد الخالدي', 'أحمد الشرع', 'أفيخاي أدرعي', 'إيران', 'اسرائيل', 'الجيش الاسرائيلي', 'الحرب على إيران', 'المسيح', 'المسيحيين', 'المسيحيين الصهاينة', 'اليهود', 'ترامب', 'تمثال المسيح', 'جاسم العلي', 'جنوب لبنان', 'دبل', 'دمشق', 'دونالد ترامب', 'سوريا', 'شبيه أفيخاي', 'فالنتينا غوميز', 'مروة الحاراتي', 'مضيق هرمز', 'مظاهرات الحرية والكرامة', 'نيكولاس خوري']",24,none,ar,ar,PT15M17S,hd,false,True,{},rectangular,226941,9828,0,679
18,2026-04-23T12:17:42Z,الاحتلال يغتال المراسلة الصحفية آمال خليل,,24,none,ar,ar,PT1M10S,hd,false,False,{},rectangular,320699,14320,0,459
19,2026-04-22T18:00:01Z,امرأة إسلاموفوبية منعت من دخول بريطانيا,,24,none,ar,ar,PT30S,hd,false,False,{},rectangular,3350592,63855,0,2228
20,2026-04-22T17:00:01Z,الدحيح | تعالوا نفهم، عزيزي الطفل المراوغ بيفكر إزاي؟,,24,none,ar,ar,PT2M,hd,false,False,{},rectangular,59934,2527,0,46
21,2026-04-22T16:00:01Z,المُخبر الاقتصادي+ | هل تخشى الولايات المتحدة الأمريكية من أن يسحب الخليج استثماراته؟,,24,none,ar,ar,PT1M49S,hd,false,False,{},rectangular,451401,11506,0,456
